Row,Column,Conexions
21,4,"W,N,S"
22,4,"E,N,S"
23,4,N
24,4,"E,S"
25,4,"W,N"
26,4,"E,W"
27,4,"W,S"
28,4,"E,N"
29,4,"W,S"
30,4,"N,S"
31,4,"N,S"
32,4,"E,N"
33,4,"E,W"
34,4,"W,S"
35,4,"E,N"
36,4,"E,S"
37,4,"W,N"
38,4,"E,S"
39,4,"W,N"
40,4,"E,W"
41,4,W
42,4,"E,W"
43,4,"E,S"
44,4,"N,S"
45,4,"N,S"
46,4,"E,W,N"
47,4,"W,S"
48,4,"E,N"
49,4,"E,W,S"
50,4,"N,S"
1,5,"E,W,S"
2,5,"E,N"
3,5,"W,S"
4,5,"E,N"
5,5,S
6,5,"E,W,N"
7,5,"E,W,S"
8,5,"N,S"
9,5,"N,S"
10,5,"E,N"
11,5,"E,W"
12,5,E
13,5,"W,S"
14,5,"W,N"
15,5,"W,S"
16,5,"E,N"
17,5,"E,W"
18,5,"W,S"
19,5,"N,S"
20,5,"E,N"
21,5,S
22,5,"W,N"
23,5,"E,S"
24,5,"W,N"
25,5,"E,S"
26,5,"W,N"
27,5,"E,S"
28,5,"W,N"
29,5,"E,S"
30,5,"N,S"
31,5,"E,N"
32,5,"E,W"
33,5,"E,W"
34,5,E
35,5,"E,W"
36,5,"W,S"
37,5,"E,N"
38,5,"W,S"
39,5,"E,N"
40,5,"W,S"
41,5,"N,S"
42,5,"E,W,N"
43,5,"E,W"
44,5,"E,S"
45,5,N
46,5,"E,W"
47,5,E
48,5,"E,W"
49,5,W
50,5,"E,S"
1,6,"E,W"
2,6,"W,S"
3,6,"E,N"
4,6,"W,S"
5,6,"E,N"
6,6,"E,W"
7,6,"W,S"
8,6,"N,S"
9,6,N
10,6,"E,W,S"
11,6,"W,N"
12,6,"E,W,S"
13,6,"E,N"
14,6,E
15,6,"E,S"
16,6,"W,N"
17,6,"E,W"
18,6,"E,S"
19,6,"N,S"
20,6,"E,W,N"
21,6,"E,S"
22,6,"E,N"
23,6,"W,S"
24,6,"E,N"
25,6,"E,W,S"
26,6,"E,N"
27,6,"W,S"
28,6,"E,N"
29,6,"W,S"
30,6,"E,N"
31,6,"E,W"
32,6,W
33,6,"E,W"
34,6,"W,S"
35,6,"W,N"
36,6,"E,S"
37,6,"W,N,S"
38,6,"E,N"
39,6,"W,S"
40,6,"N,S"
41,6,"E,N"
42,6,W
43,6,"E,W"
44,6,"E,W,S"
45,6,"N,S"
46,6,"W,N,S"
47,6,"W,N"
48,6,"W,S"
49,6,"E,N"
50,6,"E,W"
1,7,"E,W"
2,7,E
3,7,"W,S"
4,7,"E,N"
5,7,"E,W"
6,7,"E,W"
7,7,"E,S"
8,7,"N,S"
9,7,"E,N"
10,7,"W,S"
11,7,"E,N"
12,7,"E,W"
13,7,"E,W"
14,7,"E,W"
15,7,"E,W"
16,7,"E,S"
17,7,"W,N"
18,7,"W,S"
19,7,"E,N"
20,7,"E,W"
21,7,"E,W"
22,7,"W,S"
23,7,"N,S"
24,7,"W,N"
25,7,W
26,7,"W,S"
27,7,"N,S"
28,7,"W,N,S"
29,7,"N,S"
30,7,"W,N"
31,7,"W,S"
32,7,"E,N"
33,7,"E,W"
34,7,"E,S"
35,7,"E,N"
36,7,"E,W"
37,7,"E,S"
38,7,"W,N"
39,7,"E,S"
40,7,"E,N"
41,7,"W,S"
42,7,"N,S"
43,7,"W,N"
44,7,"W,S"
45,7,"E,N"
46,7,E
47,7,"E,S"
48,7,"N,S"
49,7,"E,W,N"
50,7,"E,W"
1,8,"W,S"
2,8,"W,N,S"
3,8,"E,N"
4,8,"E,W"
5,8,"E,W"
6,8,"W,S"
7,8,"W,N,S"
8,8,N
9,8,"E,W"
10,8,"E,S"
11,8,"W,N"
12,8,"E,W"
13,8,"W,S"
14,8,"W,N"
15,8,"W,S"
16,8,"W,N"
17,8,"E,S"
18,8,N
19,8,"E,W"
20,8,"E,W"
21,8,"W,S"
22,8,"E,N"
23,8,"E,S"
24,8,"N,S"
25,8,"N,S"
26,8,"E,N"
27,8,"E,S"
28,8,"N,S"
29,8,"N,S"
30,8,"N,S"
31,8,"E,N"
32,8,"E,W"
33,8,"E,W"
34,8,"E,W"
35,8,"E,W"
36,8,"E,W"
37,8,"W,S"
38,8,"E,N"
39,8,"E,W"
40,8,"W,S"
41,8,"N,S"
42,8,"N,S"
43,8,"N,S"
44,8,"N,S"
45,8,"W,N,S"
46,8,"W,N"
47,8,"W,S"
48,8,"E,N"
49,8,"E,W"
50,8,"E,W"
1,9,"E,S"
2,9,"N,S"
3,9,"W,N"
4,9,"E,W"
5,9,"E,W"
6,9,"E,S"
7,9,"E,N"
8,9,"E,S"
9,9,"W,N"
10,9,"E,W"
11,9,S
12,9,"W,N,S"
13,9,"N,S"
14,9,"E,N,S"
15,9,"E,N"
16,9,"E,S"
17,9,"E,W,N"
18,9,"E,S"
19,9,"W,N"
20,9,W
21,9,"E,S"
22,9,"W,N"
23,9,"E,W"
24,9,"E,S"
25,9,"E,N"
26,9,"W,S"
27,9,"W,N"
28,9,"E,S"
29,9,"E,N"
30,9,"E,S"
31,9,"W,N"
32,9,"W,S"
33,9,"W,N"
34,9,"E,W"
35,9,"W,S"
36,9,"W,N"
37,9,"E,S"
38,9,"W,N"
39,9,"W,S"
40,9,"N,S"
41,9,"N,S"
42,9,"E,N"
43,9,"E,S"
44,9,"E,N,S"
45,9,"N,S"
46,9,"E,N,S"
47,9,N
48,9,"E,W"
49,9,"E,W"
50,9,"E,W"
1,10,"W,S"
2,10,"E,N"
3,10,"E,S"
4,10,"E,W,N"
5,10,"W,S"
6,10,"W,N"
7,10,"W,S"
8,10,"W,N"
9,10,"E,S"
10,10,"W,N"
11,10,"E,S"
12,10,"N,S"
13,10,"E,N"
14,10,"E,W"
15,10,"W,S"
16,10,"E,W,N"
17,10,W
18,10,"E,W"
19,10,"E,S"
20,10,"N,S"
21,10,"W,N"
22,10,"E,S"
23,10,"E,W,N"
24,10,"E,W"
25,10,"E,W"
26,10,S
27,10,"N,S"
28,10,"W,N"
29,10,"W,S"
30,10,"W,N,S"
31,10,"N,S"
32,10,"E,N,S"
33,10,"N,S"
34,10,"W,N"
35,10,"E,S"
36,10,"E,N"
37,10,"E,W"
38,10,"E,S"
39,10,"N,S"
40,10,"E,N"
41,10,"E,S"
42,10,"W,N"
43,10,"E,W"
44,10,"W,S"
45,10,"E,N"
46,10,"E,W"
47,10,"E,S"
48,10,"W,N"
49,10,W
50,10,"W,S"
1,11,"E,S"
2,11,"W,N"
3,11,"E,W"
4,11,"W,S"
5,11,"E,N"
6,11,S
7,11,"N,S"
8,11,"E,N"
9,11,"E,W"
10,11,S
11,11,"W,N,S"
12,11,"E,N"
13,11,"W,S"
14,11,"W,N"
15,11,"E,S"
16,11,"W,N"
17,11,"E,S"
18,11,"E,W,N"
19,11,"E,W"
20,11,S
21,11,"N,S"
22,11,"E,W,N"
23,11,"E,W"
24,11,"E,W"
25,11,"E,W"
26,11,"E,S"
27,11,"N,S"
28,11,"N,S"
29,11,"N,S"
30,11,"N,S"
31,11,"E,N"
32,11,"E,W"
33,11,"E,S"
34,11,"E,N"
35,11,"E,W"
36,11,"E,W"
37,11,W
38,11,"E,W"
39,11,E
40,11,"W,S"
41,11,"W,N"
42,11,"E,S"
43,11,"W,N"
44,11,"E,S"
45,11,"W,N"
46,11,"E,W"
47,11,"W,S"
48,11,"E,N"
49,11,"E,S"
50,11,"E,N"
1,12,"E,W"
2,12,"E,S"
3,12,"W,N"
4,12,S
5,12,"W,N,S"
6,12,"N,S"
7,12,"E,N"
8,12,"E,W"
9,12,"W,S"
10,12,"N,S"
11,12,"N,S"
12,12,"W,N"
13,12,E
14,12,"E,S"
15,12,"W,N"
16,12,E
17,12,"E,W"
18,12,W
19,12,"W,S"
20,12,"N,S"
21,12,"E,N"
22,12,W
23,12,"W,S"
24,12,"W,N"
25,12,"E,W"
26,12,"E,W"
27,12,"E,S"
28,12,"N,S"
29,12,N
30,12,"E,S"
31,12,"W,N"
32,12,W
33,12,"E,W"
34,12,"W,S"
35,12,"W,N"
36,12,"W,S"
37,12,"N,S"
38,12,"W,N"
39,12,"E,W,S"
40,12,"E,N,S"
41,12,"E,N"
42,12,"E,W"
43,12,E
44,12,"W,S"
45,12,"E,N"
46,12,W
47,12,"E,S"
48,12,"W,N"
49,12,"E,W"
50,12,"E,W"
1,13,"E,W"
2,13,"W,S"
3,13,"N,S"
4,13,"N,S"
5,13,"N,S"
6,13,"E,N"
7,13,"E,W"
8,13,"W,S"
9,13,"E,N,S"
10,13,"N,S"
11,13,"E,N"
12,13,E
13,13,"E,W,S"
14,13,"W,N"
15,13,"E,S"
16,13,"W,N"
17,13,"W,S"
18,13,"E,N,S"
19,13,"E,N,S"
20,13,N
21,13,"W,S"
22,13,"N,S"
23,13,"N,S"
24,13,"E,N"
25,13,"E,W,S"
26,13,"W,N"
27,13,"E,W"
28,13,"E,S"
29,13,"E,N"
30,13,"W,S"
31,13,"N,S"
32,13,"E,N"
33,13,"W,S"
34,13,"E,N"
35,13,"E,S"
36,13,"N,S"
37,13,"N,S"
38,13,"N,S"
39,13,"W,N"
40,13,"E,W"
41,13,W
42,13,"W,S"
43,13,"W,N,S"
44,13,"E,N"
45,13,"W,S"
46,13,"E,N"
47,13,"W,S"
48,13,"N,S"
49,13,"W,N"
50,13,"E,W"
1,14,"E,W"
2,14,S
3,14,"N,S"
4,14,"E,N"
5,14,"E,S"
6,14,"W,N"
7,14,"W,S"
8,14,"N,S"
9,14,"W,N"
10,14,"E,S"
11,14,"W,N,S"
12,14,"W,N"
13,14,"E,W"
14,14,E
15,14,"E,W,S"
16,14,"E,N,S"
17,14,"E,N"
18,14,"E,W"
19,14,W
20,14,"E,S"
21,14,"E,N"
22,14,"E,S"
23,14,"N,S"
24,14,"W,N"
25,14,"W,S"
26,14,"E,N"
27,14,"W,S"
28,14,"W,N"
29,14,"E,W,S"
30,14,"E,N,S"
31,14,N
32,14,"E,W"
33,14,"E,S"
34,14,"W,N"
35,14,"W,S"
36,14,"N,S"
37,14,"E,N"
38,14,S
39,14,"E,N"
40,14,"W,S"
41,14,"E,N,S"
42,14,"N,S"
43,14,N
44,14,"W,S"
45,14,"E,N"
46,14,"E,W,S"
47,14,"E,N"
48,14,"E,S"
49,14,"E,N"
50,14,"W,S"
1,15,"W,S"
2,15,"N,S"
3,15,"E,N"
4,15,"E,W"
5,15,"W,S"
6,15,"N,S"
7,15,"N,S"
8,15,"E,N"
9,15,S
10,15,"W,N"
11,15,"E,S"
12,15,"N,S"
13,15,"W,N"
14,15,"E,W"
15,15,"E,W"
16,15,"E,W"
17,15,W
18,15,"E,W"
19,15,"E,S"
20,15,"W,N"
21,15,"W,S"
22,15,"W,N"
23,15,"E,S"
24,15,"E,N,S"
25,15,"E,N"
26,15,"W,S"
27,15,"N,S"
28,15,"N,S"
29,15,"W,N"
30,15,W
31,15,"E,S"
32,15,"W,N"
33,15,"W,S"
34,15,"N,S"
35,15,"E,N"
36,15,S
37,15,"W,N,S"
38,15,"N,S"
39,15,"E,W,N"
40,15,E
41,15,"W,S"
42,15,"N,S"
43,15,"N,S"
44,15,"N,S"
45,15,"W,N"
46,15,"E,W"
47,15,"W,S"
48,15,"W,N"
49,15,"W,S"
50,15,"E,N,S"
1,16,"E,S"
2,16,"N,S"
3,16,"W,N,S"
4,16,"W,N,S"
5,16,N
6,16,"E,S"
7,16,"E,N"
8,16,"E,W"
9,16,"E,S"
10,16,"E,N"
11,16,"W,S"
12,16,"E,N"
13,16,S
14,16,"W,N,S"
15,16,"W,N"
16,16,"E,W"
17,16,"E,S"
18,16,"E,W,N"
19,16,"E,W"
20,16,"E,S"
21,16,"E,N"
22,16,S
23,16,"W,N"
24,16,"E,W"
25,16,"W,S"
26,16,"N,S"
27,16,"N,S"
28,16,"N,S"
29,16,"E,N"
30,16,"E,S"
31,16,"E,W,N"
32,16,"E,S"
33,16,"N,S"
34,16,"E,N"
35,16,"W,S"
36,16,"E,N"
37,16,"E,S"
38,16,"E,N"
39,16,"E,W"
40,16,"W,S"
41,16,"E,N"
42,16,"E,S"
43,16,"E,N,S"
44,16,"N,S"
45,16,N
46,16,"W,S"
47,16,"N,S"
48,16,"E,N"
49,16,S
50,16,"W,N"
1,17,"W,S"
2,17,"E,N"
3,17,"E,S"
4,17,"N,S"
5,17,"N,S"
6,17,"W,N"
7,17,"W,S"
8,17,"E,W,N"
9,17,"E,W"
10,17,"W,S"
11,17,"E,N"
12,17,"E,W"
13,17,"E,S"
14,17,"E,N"
15,17,"E,S"
16,17,"E,W,N"
17,17,"E,W"
18,17,W
19,17,"E,W"
20,17,"E,W"
21,17,"W,S"
22,17,"N,S"
23,17,"N,S"
24,17,"W,N"
25,17,"E,S"
26,17,"E,N,S"
27,17,"N,S"
28,17,N
29,17,"E,W"
30,17,"E,W"
31,17,"E,W"
32,17,"W,S"
33,17,"E,N"
34,17,"E,W,S"
35,17,N
36,17,"E,W"
37,17,W
38,17,"E,W"
39,17,"W,S"
40,17,"E,N"
41,17,"E,W,S"
42,17,"W,N"
43,17,"W,S"
44,17,"N,S"
45,17,"E,N,S"
46,17,"N,S"
47,17,N
48,17,"W,S"
49,17,"N,S"
50,17,"N,S"
1,18,E
2,18,"E,W"
3,18,"W,S"
4,18,"N,S"
5,18,"N,S"
6,18,"N,S"
7,18,"E,N"
8,18,"E,W"
9,18,"E,W"
10,18,E
11,18,"E,W"
12,18,"E,W"
13,18,"E,W"
14,18,"W,S"
15,18,"W,N"
16,18,"E,W"
17,18,"W,S"
18,18,"E,N"
19,18,"E,W"
20,18,"E,W,S"
21,18,"E,N"
22,18,"E,S"
23,18,"E,N"
24,18,"E,S"
25,18,"W,N"
26,18,"W,S"
27,18,"N,S"
28,18,"E,N"
29,18,"W,S"
30,18,"W,N"
31,18,"E,W"
32,18,E
33,18,"E,W"
34,18,"W,S"
35,18,"E,N"
36,18,"E,W"
37,18,"E,S"
38,18,"W,N,S"
39,18,N
40,18,"E,W"
41,18,"W,S"
42,18,"N,S"
43,18,"N,S"
44,18,N
45,18,"E,W"
46,18,"E,S"
47,18,"N,S"
48,18,"N,S"
49,18,"N,S"
50,18,"E,N"
1,19,"E,W,S"
2,19,"W,N"
3,19,S
4,19,"E,N"
5,19,"E,S"
6,19,"E,N"
7,19,"E,W"
8,19,W
9,19,"E,W"
10,19,"E,W"
11,19,"E,W"
12,19,"W,S"
13,19,"W,N"
14,19,"E,S"
15,19,"E,N"
16,19,"E,W"
17,19,E
18,19,"E,W"
19,19,"E,W"
20,19,"E,W"
21,19,"W,S"
22,19,"W,N"
23,19,"E,W"
24,19,"E,W,S"
25,19,"N,S"
26,19,N
27,19,"E,S"
28,19,"E,W,N"
29,19,"E,S"
30,19,"N,S"
31,19,"W,N"
32,19,"E,W"
33,19,"E,W"
34,19,E
35,19,"E,W"
36,19,"E,W"
37,19,"E,W,S"
38,19,"N,S"
39,19,"E,N"
40,19,"E,W"
41,19,"E,S"
42,19,"E,N"
43,19,"E,S"
44,19,"N,S"
45,19,"W,N"
46,19,"E,W"
47,19,S
48,19,"N,S"
49,19,"E,N"
50,19,"W,S"
1,20,"E,W"
2,20,S
3,20,"E,N,S"
4,20,"W,N"
5,20,"E,W"
6,20,"E,W"
7,20,"E,W,S"
8,20,"E,N"
9,20,"E,W"
10,20,"E,W"
11,20,"E,W,S"
12,20,"N,S"
13,20,N
14,20,"E,W"
15,20,"E,W"
16,20,"E,W"
17,20,"E,W"
18,20,"E,W"
19,20,"E,W"
20,20,"E,W,S"
21,20,"N,S"
22,20,N
23,20,"E,W"
24,20,W
25,20,"E,S"
26,20,"E,N"
27,20,"E,W"
28,20,W
29,20,"W,S"
30,20,"E,N"
31,20,"E,S"
32,20,"E,W,N"
33,20,"W,S"
34,20,"E,W,N"
35,20,"E,W"
36,20,"E,W"
37,20,"W,S"
38,20,N
39,20,"E,W"
40,20,"W,S"
41,20,"W,N"
42,20,"E,W"
43,20,"W,S"
44,20,"E,N"
45,20,"E,S"
46,20,"E,W,N"
47,20,"E,S"
48,20,"E,N"
49,20,"W,S"
50,20,"N,S"
1,21,"E,W"
2,21,"E,S"
3,21,"W,N"
4,21,"E,S"
5,21,"W,N"
6,21,"E,W"
7,21,"E,W"
8,21,"W,S"
9,21,"W,N"
10,21,"E,W"
11,21,"E,W"
12,21,"E,S"
13,21,"N,S"
14,21,"W,N"
15,21,"W,S"
16,21,"W,N,S"
17,21,"W,N"
18,21,"E,W"
19,21,"E,W"
20,21,W
21,21,"E,S"
22,21,"E,N"
23,21,"W,S"
24,21,"N,S"
25,21,"W,N"
26,21,"E,W"
27,21,"E,W,S"
28,21,"N,S"
29,21,"N,S"
30,21,"W,N"
31,21,W
32,21,"E,W"
33,21,"E,S"
34,21,"W,N"
35,21,"E,W"
36,21,"E,W"
37,21,"E,S"
38,21,"E,N"
39,21,"W,S"
40,21,"N,S"
41,21,"N,S"
42,21,"W,N,S"
43,21,"N,S"
44,21,"W,N"
45,21,"E,W"
46,21,"E,W"
47,21,"E,W"
48,21,"E,W"
49,21,"E,S"
50,21,"E,N"
1,22,"E,W"
2,22,"W,S"
3,22,"E,N"
4,22,"W,S"
5,22,"E,N"
6,22,"E,W"
7,22,"W,S"
8,22,"N,S"
9,22,"N,S"
10,22,"W,N"
11,22,"E,W"
12,22,"W,S"
13,22,"N,S"
14,22,"E,N"
15,22,"E,S"
16,22,"E,N"
17,22,"E,S"
18,22,"W,N"
19,22,"E,W"
20,22,"E,S"
21,22,"W,N"
22,22,"W,S"
23,22,"N,S"
24,22,"N,S"
25,22,"N,S"
26,22,"W,N"
27,22,"W,S"
28,22,"N,S"
29,22,"N,S"
30,22,"N,S"
31,22,"E,N"
32,22,"E,W"
33,22,"W,S"
34,22,"E,N"
35,22,"E,W"
36,22,"E,W"
37,22,"E,W"
38,22,"W,S"
39,22,"N,S"
40,22,"E,N"
41,22,"E,S"
42,22,"N,S"
43,22,"N,S"
44,22,"N,S"
45,22,"W,N"
46,22,"E,W"
47,22,"E,W"
48,22,"W,S"
49,22,"W,N"
50,22,"W,S"
1,23,"W,S"
2,23,"E,N"
3,23,"E,W,S"
4,23,N
5,23,"E,W"
6,23,"W,S"
7,23,"E,N"
8,23,"E,S"
9,23,"E,N,S"
10,23,"N,S"
11,23,"W,N,S"
12,23,"N,S"
13,23,N
14,23,"E,W"
15,23,"E,W"
16,23,"W,S"
17,23,"W,N"
18,23,"E,S"
19,23,"W,N"
20,23,"E,W"
21,23,"E,S"
22,23,"N,S"
23,23,"N,S"
24,23,"N,S"
25,23,"E,N"
26,23,E
27,23,"E,S"
28,23,"N,S"
29,23,"N,S"
30,23,"E,N"
31,23,"E,W"
32,23,"E,W,S"
33,23,"E,N"
34,23,"E,W"
35,23,"W,S"
36,23,"W,N"
37,23,"E,W,S"
38,23,"E,N"
39,23,"E,S"
40,23,"W,N"
41,23,"E,W"
42,23,"E,S"
43,23,"E,N"
44,23,S
45,23,"N,S"
46,23,"W,N"
47,23,"E,W,S"
48,23,"E,N"
49,23,S
50,23,"E,N"
1,24,E
2,24,"E,W"
3,24,"E,W"
4,24,"E,S"
5,24,"W,N"
6,24,E
7,24,"W,S"
8,24,"W,N"
9,24,"E,W"
10,24,"E,S"
11,24,"N,S"
12,24,"E,N"
13,24,"E,S"
14,24,"W,N"
15,24,"W,S"
16,24,"N,S"
17,24,"E,N"
18,24,"E,W"
19,24,S
20,24,"W,N,S"
21,24,"E,W,N"
22,24,"E,S"
23,24,"N,S"
24,24,"E,N"
25,24,"E,W"
26,24,"W,S"
27,24,"E,W,N"
28,24,S
29,24,"E,N"
30,24,"E,W"
31,24,"E,W"
32,24,W
33,24,"E,W"
34,24,"W,S"
35,24,"N,S"
36,24,"E,N"
37,24,W
38,24,"E,W"
39,24,"E,W"
40,24,"E,S"
41,24,"E,W,N"
42,24,"E,W"
43,24,"W,S"
44,24,"N,S"
45,24,"N,S"
46,24,"E,N"
47,24,W
48,24,"W,S"
49,24,"E,N"
50,24,"E,W"
1,25,"E,W"
2,25,"E,W"
3,25,"E,W"
4,25,"W,S"
5,25,"E,N"
6,25,"E,W,S"
7,25,N
8,25,"E,S"
9,25,"W,N"
10,25,"E,W"
11,25,"E,S"
12,25,"W,N"
13,25,"E,W"
14,25,E
15,25,"E,S"
16,25,"N,S"
17,25,"W,N"
18,25,"W,S"
19,25,"E,N"
20,25,E
21,25,"E,W"
22,25,"E,W"
23,25,"E,S"
24,25,"W,N"
25,25,"W,S"
26,25,"E,N"
27,25,"E,W"
28,25,"E,S"
29,25,"E,W,N"
30,25,"E,W"
31,25,"W,S"
32,25,"E,N"
33,25,"E,W,S"
34,25,"N,S"
35,25,N
36,25,"E,W"
37,25,"E,S"
38,25,"W,N"
39,25,"E,W"
40,25,"E,W"
41,25,"E,W"
42,25,"E,W"
43,25,"E,S"
44,25,"N,S"
45,25,"E,N"
46,25,"E,W"
47,25,"E,S"
48,25,"N,S"
49,25,"W,N"
50,25,"E,W"
1,26,"E,W,S"
2,26,"W,N,S"
3,26,"W,N"
4,26,"E,S"
5,26,"W,N"
6,26,"E,W"
7,26,"E,S"
8,26,"W,N"
9,26,"E,S"
10,26,"W,N"
11,26,"E,W"
12,26,"E,S"
13,26,"W,N"
14,26,"E,W"
15,26,"W,S"
16,26,"E,N"
17,26,"E,S"
18,26,"N,S"
19,26,"W,N"
20,26,"E,W"
21,26,"E,W"
22,26,"E,W"
23,26,"W,S"
24,26,"N,S"
25,26,"E,N"
26,26,"E,W"
27,26,"E,W"
28,26,"E,W"
29,26,"E,W"
30,26,"W,S"
31,26,"N,S"
32,26,"W,N"
33,26,"E,W"
34,26,"E,S"
35,26,"E,N"
36,26,"W,S"
37,26,"W,N"
38,26,"E,S"
39,26,"W,N,S"
40,26,"W,N"
41,26,"E,W"
42,26,"E,W"
43,26,"E,W"
44,26,"E,S"
45,26,"W,N"
46,26,"W,S"
47,26,"W,N"
48,26,"E,S"
49,26,"E,N"
50,26,"E,W,S"
1,27,"E,W"
2,27,"E,S"
3,27,"N,S"
4,27,"W,N"
5,27,S
6,27,"W,N,S"
7,27,"W,N,S"
8,27,"E,N"
9,27,"E,W"
10,27,E
11,27,"E,W"
12,27,"W,S"
13,27,"E,N"
14,27,"E,W,S"
15,27,"E,N"
16,27,"W,S"
17,27,"W,N"
18,27,"E,S"
19,27,"N,S"
20,27,"W,N,S"
21,27,"W,N"
22,27,"W,S"
23,27,"N,S"
24,27,"E,N"
25,27,"W,S"
26,27,"W,N"
27,27,"W,S"
28,27,"E,W,N"
29,27,"W,S"
30,27,"N,S"
31,27,"E,N"
32,27,"E,S"
33,27,"E,W,N"
34,27,"E,W"
35,27,"W,S"
36,27,"N,S"
37,27,"N,S"
38,27,"W,N"
39,27,"E,S"
40,27,"E,N"
41,27,"E,W"
42,27,"W,S"
43,27,"W,N"
44,27,"W,S"
45,27,"N,S"
46,27,"N,S"
47,27,"E,N"
48,27,"E,W"
49,27,"E,W"
50,27,W
1,28,"E,W"
2,28,"E,W"
3,28,"E,S"
4,28,"E,N"
5,28,"E,S"
6,28,"N,S"
7,28,"E,N"
8,28,"E,W"
9,28,"W,S"
10,28,"E,W,N"
11,28,"W,S"
12,28,"N,S"
13,28,"W,N"
14,28,"E,W"
15,28,"E,W"
16,28,"E,S"
17,28,"E,N"
18,28,"W,S"
19,28,"N,S"
20,28,"E,N"
21,28,"E,S"
22,28,"N,S"
23,28,N
24,28,"W,S"
25,28,"N,S"
26,28,"E,N"
27,28,"E,S"
28,28,"W,N"
29,28,"E,S"
30,28,"E,N"
31,28,"E,W"
32,28,W
33,28,"E,W"
34,28,"W,S"
35,28,"E,N"
36,28,"E,S"
37,28,"N,S"
38,28,"N,S"
39,28,"W,N"
40,28,"E,W"
41,28,"W,S"
42,28,"N,S"
43,28,"N,S"
44,28,"E,N"
45,28,"E,S"
46,28,"E,N"
47,28,"W,S"
48,28,"W,N"
49,28,"W,S"
50,28,"E,N"
1,29,"E,W"
2,29,"W,S"
3,29,"W,N"
4,29,"W,S"
5,29,"W,N"
6,29,"E,S"
7,29,"W,N"
8,29,"W,S"
9,29,N
10,29,"W,S"
11,29,"N,S"
12,29,"N,S"
13,29,"N,S"
14,29,"W,N"
15,29,"E,W"
16,29,"E,W"
17,29,"E,W,S"
18,29,"N,S"
19,29,N
20,29,"W,S"
21,29,"E,W,N"
22,29,"E,S"
